episode_id,shot,start,end,purpose,action,camera,ai_source_layer,deterministic_overlay,storyboard_reuse_status,asset_status,high_risk,high_risk_reason,candidate_minimum,formal_filename,candidate_a_filename,candidate_b_filename,character_reference,approval_state
HC20260810-003,S05,19.50,25.00,观察下午安排,家中人物把高要求事项移到后面，先整理轻便物品,客厅广角固定，后期事项块移动,人物只整理一件轻便物品,后期确定性叠加：先排平稳的事,new,new,no,,1,HC20260810-003-v01-S05-firstframe.png,HC20260810-003-v01-S05-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S06,25.00,30.50,最小尝试,下一餐人物先盛较少份量并把勺放下,餐盘俯拍转手部侧近景,人物完成盛一次并放勺,后期确定性叠加：吃完再决定是否添加,new,new,yes,手+餐+盘+勺,2,HC20260810-003-v01-S06-firstframe.png,HC20260810-003-v01-S06-candidate-a.png,HC20260810-003-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S07,30.50,36.00,份量边界,餐盘旁没有克数，只有后期开放式份量轮廓,无相机运动,无AI动态源；确定性餐盘轮廓板,后期确定性叠加：不设统一份量,deterministic-board,deterministic-board,yes,餐+盘,2,HC20260810-003-v01-S07-firstframe.png,HC20260810-003-v01-S07-candidate-a.png,HC20260810-003-v01-S07-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-003,S08,36.00,41.80,不做补偿,下一餐人物照常坐到餐桌前,门口中远景，人物入画后停,人物走到座位并坐下,后期确定性叠加：下一餐照常安排,safe-reuse,new,yes,餐,2,HC20260810-003-v01-S08-firstframe.png,HC20260810-003-v01-S08-candidate-a.png,HC20260810-003-v01-S08-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S09,41.80,48.00,停止条件,人物放下餐具并起身离开餐桌,侧面全身中景，短跟半步,人物放下餐具后起身,后期确定性叠加：持续不舒服 / 停止自行调整,new,new,yes,餐+餐具,2,HC20260810-003-v01-S09-firstframe.png,HC20260810-003-v01-S09-candidate-a.png,HC20260810-003-v01-S09-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S10,48.00,55.00,备忘结束,深青绿卡片托住浅桃色餐盘轮廓,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：稳住节奏 / 留作备忘,deterministic-board,deterministic-board,yes,餐+盘,2,HC20260810-003-v01-S10-firstframe.png,HC20260810-003-v01-S10-candidate-a.png,HC20260810-003-v01-S10-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-004,S01,00.00,04.00,七天观察钩子,七块日光色板铺开，其中坐姿与步行剪影交替,无相机运动，节奏式确定性铺陈,无AI动态源；七块无字色板与剪影,后期确定性叠加：七天饭后 / 坐走两种安排,deterministic-board,deterministic-board,yes,cover,2,HC20260810-004-v01-S01-firstframe.png,HC20260810-004-v01-S01-candidate-a.png,HC20260810-004-v01-S01-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-004,S02,04.00,09.20,定义观察窗,社区步道全景与长椅同框,24mm环境广角，极慢推入,无人环境动态源：树影轻动,后期确定性叠加：七天只是生活观察,new,new,no,,1,HC20260810-004-v01-S02-firstframe.png,HC20260810-004-v01-S02-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S03,09.20,14.90,安排坐走日,同一人物一天坐长椅、另一天从长椅起步,匹配构图硬切，不做分屏人物融合,两条独立动态源：坐姿呼吸；起身一步,后期确定性叠加：日程允许时分别观察,new,new,no,,1,HC20260810-004-v01-S03-firstframe.png,HC20260810-004-v01-S03-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S04,14.90,20.20,记录坐着时段,人物在长椅安静坐着，手里没有记录物,侧面全身远景固定,人物只保持自然坐姿与呼吸,后期确定性叠加：连续坐着的大致时段,safe-reuse,new,yes,手,2,HC20260810-004-v01-S04-firstframe.png,HC20260810-004-v01-S04-candidate-a.png,HC20260810-004-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S05,20.20,25.00,确认路线,人物站在平坦步道入口观察路面,低机位广角，轻微前移,人物只转头确认路线,后期确定性叠加：平坦 / 方便 / 安全,new,new,no,,1,HC20260810-004-v01-S05-firstframe.png,HC20260810-004-v01-S05-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S06,25.00,30.30,记录三种感受,人物轻松走动，步幅自然,平行侧跟中远景，速度恒定,人物连续走三步；方向不反转,后期确定性叠加：舒适 / 困意 / 做事感觉,new,new,no,,1,HC20260810-004-v01-S06-firstframe.png,HC20260810-004-v01-S06-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S07,30.30,35.60,今天的最小记录,人物到步道出口停下，点按黑屏手机一个空位,越肩中近景，手机不生成界面,人物停步后单次点按,后期确定性叠加：今天只记录一种安排,new,new,yes,手+手机,2,HC20260810-004-v01-S07-firstframe.png,HC20260810-004-v01-S07-candidate-a.png,HC20260810-004-v01-S07-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S08,35.60,41.00,结果差异,坐后与走后两张人物验收帧上下排列,无相机运动,无AI动态源；确定性对照板,后期确定性叠加：不预设哪种更舒服,deterministic-board,deterministic-board,no,,1,HC20260810-004-v01-S08-firstframe.png,HC20260810-004-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-004,S09,41.00,47.20,场地边界,湿滑路面前人物停下并转向安全路段,脚步全景转侧面中景,人物停步并转向一次,后期确定性叠加：不舒服就停 / 不在湿滑处做,new,new,no,,1,HC20260810-004-v01-S09-firstframe.png,HC20260810-004-v01-S09-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-004,S10,47.20,54.00,七天边界,七块色板保留一块例外色，结束在暖米白底,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：七天不是阈值 / 保留例外,deterministic-board,deterministic-board,no,,1,HC20260810-004-v01-S10-firstframe.png,HC20260810-004-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-005,S01,00.00,04.00,执行失败钩子,人物面对办公屏幕，三张后期任务块挤在一起,正面中景快速推近后停,人物抬手又放下，屏幕保持纯色,后期确定性叠加：计划太满 / 还没开始,new,new,yes,cover+手+屏幕,2,HC20260810-005-v01-S01-firstframe.png,HC20260810-005-v01-S01-candidate-a.png,HC20260810-005-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S02,04.00,09.20,缩小动作,后期任务块收成一个，人物离开键盘,顶视办公桌，确定性图形收拢,人物手离开键盘；图形全部后期,后期确定性叠加：只留一次短暂停顿,new,new,yes,手+盘+键盘,2,HC20260810-005-v01-S02-firstframe.png,HC20260810-005-v01-S02-candidate-a.png,HC20260810-005-v01-S02-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S03,09.20,14.50,观察之前,人物看向屏幕旁的环境光，回想持续时段,三分之二侧脸近景固定,人物只转眼一次,后期确定性叠加：卡住前做什么 / 多久,new,new,yes,屏幕,2,HC20260810-005-v01-S03-firstframe.png,HC20260810-005-v01-S03-candidate-a.png,HC20260810-005-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S04,14.50,19.80,三选一而非全做,离开屏幕、换姿势、看远处三张无人物板依次出现,无相机运动，三板硬切,无AI动态源；三个无字生活剪影板,后期确定性叠加：三件里只选一件,deterministic-board,deterministic-board,yes,屏幕,2,HC20260810-005-v01-S04-firstframe.png,HC20260810-005-v01-S04-candidate-a.png,HC20260810-005-v01-S04-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-005,S05,19.80,25.20,系统计时,人物点亮手机系统计时占位后放下,越肩手机近景，屏幕纯色,人物一次点按；系统计时由后期制作,后期确定性叠加：三分钟编辑计时,new,new,yes,手+手机+屏幕,2,HC20260810-005-v01-S05-firstframe.png,HC20260810-005-v01-S05-candidate-a.png,HC20260810-005-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S06,25.20,30.70,执行选中动作,人物离开屏幕，站到窗边只看远处,办公位广角转窗边侧面中景,人物起身走两步后看向远处,后期确定性叠加：计时内只做选中的一件,new,new,yes,屏幕,2,HC20260810-005-v01-S06-firstframe.png,HC20260810-005-v01-S06-candidate-a.png,HC20260810-005-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S07,30.70,36.20,回来感受,人物回到普通办公位，落座后停顿感受,侧面全身中景，落座后镜头固定,人物回座并停顿一次,后期确定性叠加：回来后的清醒感受,new,new,no,,1,HC20260810-005-v01-S07-firstframe.png,HC20260810-005-v01-S07-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-005,S08,36.20,41.80,下一步分支与计时边界,三个中性色块在确定性信息板上分开出现,无相机运动,无AI动态源；确定性三分支信息板,后期确定性叠加：继续 / 延长休息 / 换低要求任务；三分钟不是恢复公式,deterministic-board,deterministic-board,no,,1,HC20260810-005-v01-S08-firstframe.png,HC20260810-005-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-005,S09,41.80,48.80,安全暂停,普通办公桌上的车钥匙保持不动，后期中性暂停图形进入,办公桌静物近景固定,无AI人物动态源；普通办公桌与车钥匙验收帧,后期确定性叠加：仍难以清醒 / 暂停后续安排,deterministic-board,deterministic-board,yes,钥匙+车钥匙,2,HC20260810-005-v01-S09-firstframe.png,HC20260810-005-v01-S09-candidate-a.png,HC20260810-005-v01-S09-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-005,S10,48.80,56.00,启动提示,单一青绿圆点沿短路径进入结束板,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：三分钟不是恢复公式,deterministic-board,deterministic-board,no,,1,HC20260810-005-v01-S10-firstframe.png,HC20260810-005-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-006,S01,00.00,04.00,时间对比钩子,客厅沙发旁，系统闹钟占位与人物醒来画面硬切,同机位中景匹配剪辑,两条人物源：放下手机；醒来睁眼,后期确定性叠加：闹钟时长 / 实际睡着时段,new,new,yes,cover+手+手机,2,HC20260810-006-v01-S01-firstframe.png,HC20260810-006-v01-S01-candidate-a.png,HC20260810-006-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S02,04.00,09.90,解释时间差,一条无字时间带分成躺下、等待、睡着、醒来,无相机运动，确定性时间带,无AI动态源；不显示数字的色块时间带,后期确定性叠加：别漏掉入睡前等待,deterministic-board,deterministic-board,no,,1,HC20260810-006-v01-S02-firstframe.png,HC20260810-006-v01-S02-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-006,S03,09.90,14.80,记录躺下,人物放好靠枕，黑屏手机留在边桌,客厅广角固定,人物只调整一次靠枕,后期确定性叠加：躺下时点,new,new,yes,手+手机,2,HC20260810-006-v01-S03-firstframe.png,HC20260810-006-v01-S03-candidate-a.png,HC20260810-006-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S04,14.80,20.00,估计入睡,窗帘光线渐暗，人物闭眼保持自然姿态,侧面中远景固定,人物闭眼与自然呼吸,后期确定性叠加：估计入睡时点,new,new,no,,1,HC20260810-006-v01-S04-firstframe.png,HC20260810-006-v01-S04-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S05,20.00,25.20,记录醒来,人物自然睁眼后看向窗光，不触手机,眼平中近景，慢慢后拉,人物睁眼并转头一次,后期确定性叠加：醒来时点 / 是否被叫醒,new,new,yes,手+手机,2,HC20260810-006-v01-S05-firstframe.png,HC20260810-006-v01-S05-candidate-a.png,HC20260810-006-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S06,25.20,30.50,手机三项记录,人物坐稳后在黑屏手机点按三处,越肩近景固定,人物单手三次轻点；不生成界面,后期确定性叠加：后期三时点点选,new,new,yes,手+手机,2,HC20260810-006-v01-S06-firstframe.png,HC20260810-006-v01-S06-candidate-a.png,HC20260810-006-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S07,30.50,35.90,醒后缓冲与安全,人物坐在沙发边缘，双脚落地安静停留，车钥匙留在玄关盘中,侧面全身中景固定,人物坐直并保持自然呼吸,后期确定性叠加：先留缓冲 / 没清醒不安排开车或机器操作,safe-reuse,new,yes,钥匙+车钥匙+盘,2,HC20260810-006-v01-S07-firstframe.png,HC20260810-006-v01-S07-candidate-a.png,HC20260810-006-v01-S07-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S08,35.90,41.40,晚上补充,夜间卧室门口人物放下手机准备关灯,门口中远景，静态构图,人物放下手机并关灯,后期确定性叠加：当晚入睡感受,new,new,yes,手+手机,2,HC20260810-006-v01-S08-firstframe.png,HC20260810-006-v01-S08-candidate-a.png,HC20260810-006-v01-S08-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-006,S09,41.40,47.50,个体差异,三张不同醒后状态的验收帧在确定性板上并列,无相机运动,无AI动态源；确定性差异信息板,后期确定性叠加：个人差异 / 不设统一长度,deterministic-board,deterministic-board,no,,1,HC20260810-006-v01-S09-firstframe.png,HC20260810-006-v01-S09-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-006,S10,47.50,54.00,对照结束,三枚时点圆点在品牌路径上排列,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：三个时点 / 下次对照,deterministic-board,deterministic-board,no,,1,HC20260810-006-v01-S10-firstframe.png,HC20260810-006-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-007,S01,00.00,04.00,物件提示钩子,暖光餐桌边一只咖啡杯居中，人物伸手前停住,杯口特写向后拉到半身中景,人物手伸向杯子后停住,后期确定性叠加：杯子提醒 / 先记时点,new,new,yes,cover+手+餐+杯+咖啡,2,HC20260810-007-v01-S01-firstframe.png,HC20260810-007-v01-S01-candidate-a.png,HC20260810-007-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S02,04.00,09.40,不设禁令,人物把续杯壶推回桌边,餐桌横向近景，焦点跟随壶,人物只完成推回壶动作,后期确定性叠加：先看自己的重复情况,new,new,yes,餐+杯,2,HC20260810-007-v01-S02-firstframe.png,HC20260810-007-v01-S02-candidate-a.png,HC20260810-007-v01-S02-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S03,09.40,14.70,末次时间,咖啡杯旁日光角度形成时点线索,静物俯拍固定,无人动态源：自然光低幅变化,后期确定性叠加：末次饮用时点,new,new,yes,杯+咖啡,2,HC20260810-007-v01-S03-firstframe.png,HC20260810-007-v01-S03-candidate-a.png,HC20260810-007-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S04,14.70,20.00,种类份量,两只不同杯型以确定性静物板并列,无相机运动,无AI动态源；杯型静物板,后期确定性叠加：饮品种类 / 大致份量,deterministic-board,deterministic-board,yes,杯,2,HC20260810-007-v01-S04-firstframe.png,HC20260810-007-v01-S04-candidate-a.png,HC20260810-007-v01-S04-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-007,S05,20.00,25.40,当晚感受,家中夜间人物坐在床边准备关灯,门侧中远景，轻微推入,人物放下手机并伸手关灯,后期确定性叠加：晚上补入睡感受,new,new,yes,手+手机,2,HC20260810-007-v01-S05-firstframe.png,HC20260810-007-v01-S05-candidate-a.png,HC20260810-007-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S06,25.40,30.90,手机记录,人物白天在黑屏手机点按时间与份量位置,越肩手机近景，纯色屏幕,人物两次点按；不生成界面,后期确定性叠加：后期时间 / 份量点选,new,new,yes,手+手机+屏幕,2,HC20260810-007-v01-S06-firstframe.png,HC20260810-007-v01-S06-candidate-a.png,HC20260810-007-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S07,30.90,36.40,单变量比较,三只同款杯子沿日光路径排开,无相机运动，确定性排列,无AI动态源；同款杯静物板,后期确定性叠加：比较时只调整时点,deterministic-board,deterministic-board,yes,杯,2,HC20260810-007-v01-S07-firstframe.png,HC20260810-007-v01-S07-candidate-a.png,HC20260810-007-v01-S07-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-007,S08,36.40,42.90,个人差异,不同日子的夜间窗光色板交替,无相机运动,无AI动态源；品牌色夜间板,后期确定性叠加：每个人敏感程度不同,deterministic-board,deterministic-board,no,,1,HC20260810-007-v01-S08-firstframe.png,HC20260810-007-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-007,S09,42.90,49.30,安全边界,人物把咖啡杯留在桌上，远离车钥匙,桌面中景转玄关远景,人物离桌走向沙发，不拿钥匙,后期确定性叠加：不靠加量硬撑,new,new,yes,钥匙+车钥匙+杯+咖啡,2,HC20260810-007-v01-S09-firstframe.png,HC20260810-007-v01-S09-candidate-a.png,HC20260810-007-v01-S09-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-007,S10,49.30,56.00,时间卡结束,咖啡杯轮廓与短路径组成结束卡,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：前后关系 / 留作比较,deterministic-board,deterministic-board,yes,杯+咖啡,2,HC20260810-007-v01-S10-firstframe.png,HC20260810-007-v01-S10-candidate-a.png,HC20260810-007-v01-S10-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-008,S01,00.00,04.00,自问钩子,社区休息区人物伸向零食前停手,侧面手臂与人物同框中景,人物伸手后停住，不拿起零食,后期确定性叠加：先记线索 / 不判原因,new,new,yes,cover+手+食,2,HC20260810-008-v01-S01-firstframe.png,HC20260810-008-v01-S01-candidate-a.png,HC20260810-008-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
