"episode_id","shot","start","end","purpose","action","camera","ai_source_layer","deterministic_overlay","storyboard_reuse_status","asset_status","high_risk","high_risk_reason","candidate_minimum","formal_filename","candidate_a_filename","candidate_b_filename","character_reference","approval_state","actual_formal_path","actual_formal_sha256","actual_width","actual_height","actual_preview_path","actual_preview_sha256","actual_candidate_file_count","actual_independent_candidate_count","candidate_contract_status","layer_separation_status","per_shot_qa_status","residual_visual_risk","source_inventory_path","source_episode_qa_path","actual_status"
"HC20260810-002","S01","00.00","04.00","双行为钩子","办公室休息区同一餐盒，左侧匆匆动作、右侧从容动作","垂直分屏固定，两侧同景别","两段独立人物源各完成一次进餐动作","后期确定性叠加：同份午餐 / 两种速度","new","new","yes","cover+餐","2","HC20260810-002-v01-S01-firstframe.png","HC20260810-002-v01-S01-candidate-a.png","HC20260810-002-v01-S01-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S01-firstframe.png","c849d17c006db022a3b15a89897af3e5a301e54b21d30ce3d9e461b63d4b1c6e","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S01-storyboard-with-copy.png","bdc0420e692d8815c3f0bec52abee712bd1781e8e474bf64c53291848276a869","4","4","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","REMEDIATED-2026-08-14: same character, meal, placement and utensil type; only pace changes; independent final review pending.","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S02","04.00","09.40","限定观察变量","两侧画面同步停在相同剩余份量","分屏静止，后期对齐构图","无AI动态源；两张验收帧确定性并列","后期确定性叠加：先别预设结果","deterministic-board","deterministic-board","no","","1","HC20260810-002-v01-S02-firstframe.png","HC20260810-002-v01-S02-candidate-a.png","","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S02-firstframe.png","e6059ff3ef10e7cd9c0e7c062ef7ed792f7575c37552ab42ea0013863b9e8dd4","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S02-storyboard-with-copy.png","dc6cb76d11e8ffaa2f9f8ff1b971b4ab044b0ea682870af30eddf7c79f5b2561","1","1","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S03","09.40","14.80","观察时长","人物从第一口开始，桌侧日光缓慢移动","餐桌侧面中景固定","人物完成一口自然进餐","后期确定性叠加：大致进餐时长","new","new","yes","餐","2","HC20260810-002-v01-S03-firstframe.png","HC20260810-002-v01-S03-candidate-a.png","HC20260810-002-v01-S03-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S03-firstframe.png","333ddb73f1db1e5874491469ea43911994fe92919c83e69a33440eab7f44d4b5","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S03-storyboard-with-copy.png","b61a878cb6eaa64fba85d498616bf2b64d582ed7c36b2c08842750c1d9679657","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S04","14.80","20.20","中途停顿","人物吃到中途主动放下餐具","餐具近景后切人物中景","人物只做放下餐具动作","后期确定性叠加：中途停一下","new","new","yes","餐+餐具","2","HC20260810-002-v01-S04-firstframe.png","HC20260810-002-v01-S04-candidate-a.png","HC20260810-002-v01-S04-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S04-firstframe.png","262f918aa070df29b4ace913fb544b26baa7ce389d03dac8b18ee1055e082e5f","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S04-storyboard-with-copy.png","a3a18be253cd3bd2932f523a9ef0d5af28fb588f29eed701b7918812949b6966","3","3","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S05","20.20","25.60","回办公位后的自觉","人物回到普通办公位坐下，双手离开键盘后短暂停顿","办公位侧面中景，落座后保持固定","人物只完成落座并停顿一次","后期确定性叠加：清醒 / 专注的主观感受","new","new","yes","手+盘+键盘","2","HC20260810-002-v01-S05-firstframe.png","HC20260810-002-v01-S05-candidate-a.png","HC20260810-002-v01-S05-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S05-firstframe.png","5b0959d59261470776f1fc05c7a232627f380d946e6e17bdce95c442568136f7","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S05-storyboard-with-copy.png","1ea286e56a37e134e755b6df368dfe68aecb6e631090a1d9062f306caefc31ad","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S06","25.60","31.10","呈现最小尝试","人物视线在餐盘与自己之间短暂移动","眼平中近景，轻微推近","人物只做一次视线移动","后期确定性叠加：已经够了吗","new","new","yes","餐+盘","2","HC20260810-002-v01-S06-firstframe.png","HC20260810-002-v01-S06-candidate-a.png","HC20260810-002-v01-S06-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S06-firstframe.png","f21bf18c41201bcaf38a2e54fcf2fe397aa8b5a4f3e983fb6d4ca1d190a26464","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S06-storyboard-with-copy.png","0863491bcb5e24b45fafada51669fd87ade4ff63a2a98518516dd648035e10ba","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S07","31.10","36.70","确定动作","人物停顿后把餐具平放在盘边","餐盘俯拍近景固定","人物只完成一次放平餐具动作","后期确定性叠加：继续或停下由后期两分支板表达","new","new","yes","餐+盘+餐具","2","HC20260810-002-v01-S07-firstframe.png","HC20260810-002-v01-S07-candidate-a.png","HC20260810-002-v01-S07-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S07-firstframe.png","aa06cd2a24c4e2c580eb1c1e4c9808b5bf68a8f2bcf057148e959dd4db1fe8ff","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S07-storyboard-with-copy.png","6766e8a2011a3af5507d1a1b8668f78c6c5c748bc495343b63c540fc16954fd0","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S08","36.70","42.40","下午感受","人物回办公位前停一步，再自然落座","走廊中远景转办公位侧景","人物走两步并坐下","后期确定性叠加：清醒与专注只作主观记录","safe-reuse","new","no","","1","HC20260810-002-v01-S08-firstframe.png","HC20260810-002-v01-S08-candidate-a.png","","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S08-firstframe.png","5458290eec7c0119317a116aba0ca67554220a8846ae6bbe2c3fee45d804af37","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S08-storyboard-with-copy.png","c5fe812a9a32e9665b7cebe60e92392f1b44a0b73df28018884694466fecedb7","1","1","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S09","42.40","48.60","边界","餐盘与空椅静态画面，后期边界文字进入","无相机运动","无AI动态源；餐桌静物板","后期确定性叠加：不追次数 / 不用挨饿补偿","deterministic-board","deterministic-board","yes","餐+盘","2","HC20260810-002-v01-S09-firstframe.png","HC20260810-002-v01-S09-candidate-a.png","HC20260810-002-v01-S09-candidate-b.png","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S09-firstframe.png","a38c6d60bc0257428feb14fff2addc0943f59f04042c8dcde74370e682814023","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S09-storyboard-with-copy.png","2bad172923ee84605781e37ea5888381e05361aae7e25c9b70d76bde484bd193","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-002","S10","48.60","55.00","保存理由","暖米白结束板中央是一组暂停符号","无相机运动","无AI动态源；确定性结束板","后期确定性叠加：中途停顿 / 下顿再试","deterministic-board","deterministic-board","no","","1","HC20260810-002-v01-S10-firstframe.png","HC20260810-002-v01-S10-candidate-a.png","","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/HC20260810-002-v01-S10-firstframe.png","c5e69bf794b63cd36ac941c0d08f35871ce9e8135e0b6540a7b44d4da7f28d23","1080","1920","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/storyboard_with_copy/HC20260810-002-v01-S10-storyboard-with-copy.png","e548215e963f6a12ab7d2f74b204d4c33116c56d81eee2b7a875bc9919f14dad","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","REMEDIATED-2026-08-14: deterministic pause symbol present; board is not Grok input.","09_泛健康日更/work/HC20260810-002/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-002/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-003","S01","00.00","04.00","三项清单钩子","人物看向餐桌上已经添加过的餐盘","高位斜俯中景，缓慢下降","人物只做一次停顿与看盘动作","后期确定性叠加：份量 / 停下 / 下午安排","new","new","yes","cover+餐+盘","2","HC20260810-003-v01-S01-firstframe.png","HC20260810-003-v01-S01-candidate-a.png","HC20260810-003-v01-S01-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/HC20260810-003-v01-S01-firstframe.png","32fad8b746573df906464e3acbc66adcf5a7e4d04c5a56cd10d828bcc4b6a358","1080","1920","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/storyboard_with_copy/HC20260810-003-v01-S01-storyboard-with-copy.png","a22f6396a8bdefda763b2d80b060f50afc2c5c2af4fba25e0e99401f238f2e35","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-003/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-003","S02","04.00","09.00","先放稳","人物把盛菜勺放回公用盘边","手部与餐桌关系近景固定","手只完成放勺动作","后期确定性叠加：承认吃多 / 不慌补偿","new","new","yes","手+餐+盘+勺","2","HC20260810-003-v01-S02-firstframe.png","HC20260810-003-v01-S02-candidate-a.png","HC20260810-003-v01-S02-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/HC20260810-003-v01-S02-firstframe.png","05309d5c341f121a8c0a400f17f748bf1457bbecc3f36168632e841103c1d080","1080","1920","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/storyboard_with_copy/HC20260810-003-v01-S02-storyboard-with-copy.png","84e045c5e316e7e55b3f7faf29a93c5ec6225bd92437b182b0b647e2da6ac3fa","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-003/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-003","S03","09.00","14.00","观察开始份量","空碗与添加后的餐盘以静物对照","俯拍静物，确定性切换","无AI动态源；两张餐桌静物板","后期确定性叠加：开始盛多少 / 是否添加","deterministic-board","deterministic-board","yes","餐+盘+碗","2","HC20260810-003-v01-S03-firstframe.png","HC20260810-003-v01-S03-candidate-a.png","HC20260810-003-v01-S03-candidate-b.png","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/HC20260810-003-v01-S03-firstframe.png","301d09376129abe9858ac34f48e9f35683347f214d80de4dee8ada08f87e34db","1080","1920","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/storyboard_with_copy/HC20260810-003-v01-S03-storyboard-with-copy.png","92514abc0dd8681e750a47b59a0151c065c53d9b528393977a41380b3eb037fc","4","4","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","REMEDIATED-2026-08-14: text-free empty-bowl versus filled-plate still life; chart-like abstraction removed.","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-003/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-003","S04","14.00","19.50","观察停下时机","人物准备再夹菜时停手","侧面手臂中近景，焦点落在停手","人物只做伸手后停住","后期确定性叠加：什么时候已经觉得够","new","new","yes","手","2","HC20260810-003-v01-S04-firstframe.png","HC20260810-003-v01-S04-candidate-a.png","HC20260810-003-v01-S04-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/HC20260810-003-v01-S04-firstframe.png","06a0cca336f9c9ac43b082c507c23b0088adabd85a5cc4cbc7cfda418f2fff45","1080","1920","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/storyboard_with_copy/HC20260810-003-v01-S04-storyboard-with-copy.png","46801752c351b2658a36492ac90b0aa26a47312d235d4e31b3f2383d0ee53cc2","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-003/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-003/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
